Name,Type,%Vbur,Bite angle,P1–M (Å),P2–M (Å),Avg. P–M (Å),Metal center
XESGOU,PC1P,0.4299524785687663,73.18369340657878,2.281243082181292,2.2770693884903905,2.279156235335841,Ru
XIJNIQ,PC1P,0.4369525717480432,71.475703779812,2.2369758603972465,2.275315362757436,2.256145611577341,Ru
XUMHAP,PC1P,0.5053752795378308,74.10155033181853,2.184454623012344,2.181889548075246,2.183172085543795,Rh
XUMWOT,PC1P,0.4058539880730525,70.70424131158478,2.2792500959745507,2.3637440639798544,2.3214970799772026,Ru
YOFHAD,PC1P,0.4282636041744316,71.91657668634751,2.38725784112232,2.392861466947052,2.390059654034686,Pd
YUFPIB,PC1P,0.4352986395825568,71.42637486748787,2.3055715126623157,2.32142994725234,2.313500729957328,Ru
YUFPOH,PC1P,0.4341513697353708,71.06081371151465,2.3059143522689647,2.325965820901073,2.3159400865850186,Ru
YUQHEZ,PC1P,0.4757850354081252,73.49688374316885,2.2757699795893256,2.27104403303855,2.2734070063139376,Pd
ZUZLAH,PC1P,0.4424210305628028,72.07759622433582,2.2725006050604257,2.2832917027835054,2.277896153921965,Ru
ABUYIF,PC2P,0.5185135575847931,85.6258467704225,2.253556522477303,2.2368839934158404,2.2452202579465714,Pd
ACUJUF,PC2P,0.5978557118896758,84.2000188946437,2.249050910939991,2.2906809031377544,2.2698659070388727,Rh
ACUKAM,PC2P,0.6350109485650391,83.88376324772824,2.2264671567305894,2.226204168534413,2.226335662632501,Rh
ACUKEQ,PC2P,0.6562791185240403,84.1573913053803,2.18666824186935,2.186668241869351,2.1866682418693504,Rh
ACUKIU,PC2P,0.4946596626910175,83.71756582741483,2.257475359776934,2.253567172284865,2.2555212660308994,Rh
ADEBUH,PC2P,0.537108647036899,84.74287413992866,2.2148792292131865,2.223358945379715,2.219119087296451,Pd
ADOZEZ,PC2P,0.4424501490868431,83.08612974530686,2.3437337732771617,2.3726055297920894,2.358169651534625,Ru
ADUXEF,PC2P,0.4693032519567648,81.8577299868559,2.288981432864845,2.281147737433943,2.285064585149394,Ru
AGADIV,PC2P,0.5040008852031308,86.29893025994888,2.2800653499406542,2.278537688957547,2.279301519449101,Pd
AGAXAI,PC2P,0.4831869642191576,83.76957167050067,2.3041801144875804,2.292218575965217,2.298199345226399,Ru
AHAPUX,PC2P,0.4727508852031308,83.04487050159833,2.2676026988870874,2.279086220396236,2.273344459641661,Ru
AHEJEF,PC2P,0.4649005311218785,83.55869097611476,2.331127195156884,2.3080019497392112,2.319564572448048,Ru
AHEJUV,PC2P,0.4816495061498322,82.5362466959031,2.249827771186052,2.265062030055688,2.25744490062087,Ru
AKEGIG,PC2P,0.4701768076779724,82.15738694056509,2.2884156091060035,2.2819301041004727,2.2851728566032383,Ru
AKEGUS,PC2P,0.489773574357063,82.74127306392052,2.320169174866349,2.3180209231152338,2.3190950489907918,Ru
AKEHED,PC2P,0.4654945490122996,82.73242591860968,2.264306737171446,2.258871620964769,2.2615891790681077,Ru
ALECEZ,PC2P,0.4945431885948565,84.48386794241166,2.236485412427275,2.2325245799318765,2.2345049961795755,Ru
ALEGUT,PC2P,0.4536200149086843,81.87580823984447,2.347918652764612,2.337672774363427,2.34279571356402,Ru
ALEPIR,PC2P,0.4634911945583302,84.33871317273451,2.2996247519975954,2.295439391489132,2.297532071743364,Ru
ALIDEE,PC2P,0.4744048173686172,84.57306376018114,2.275387659279182,2.2621834585196665,2.2687855588994243,Ru
ALIDII,PC2P,0.4755579109206113,84.26281544753122,2.2685548263156434,2.277203767781882,2.272879297048763,Ru
ALOYOQ,PC2P,0.4564678065598211,82.11300726060546,2.286903802087005,2.3171223532649283,2.302013077675966,Ru
ALUGOG,PC2P,0.4785047055534849,82.70980251468089,2.282644957061873,2.28192046311873,2.2822827100903016,Ru
ALUHEX,PC2P,0.4592340663436451,82.90573931456066,2.314756790680178,2.2982380207454582,2.3064974057128182,Ru
APOSAZ,PC2P,0.4897444558330227,85.12927461853623,2.29337502384586,2.287106468881586,2.2902407463637227,Ru
